Tip document,Nr. factura,Data factura,Furnizor,Suma factura (lei),Baza TVA (lei),Baza TVA 0 (lei),Valoare TVA (lei)
Factura        ,1,31.08.2016 00:00:00,PRELUARE SOLD,18340.45,15284.45,0,3056
Factura        ,71615151,06.09.2016 00:00:00,EUROPAPIER ROMANIA SRL,7542.08,6281.59,0,1260.49
Factura        ,1000332367,27.09.2016 00:00:00,ANTALIS SA,878.56,732,0,146.56
Factura        ,1137882,27.09.2016 00:00:00,LIFE - IND S.R.L.,295.71,271.1,0,24.61
Factura        ,71616584,27.09.2016 00:00:00,EUROPAPIER ROMANIA SRL,4566.52,3805,0,761.52
Factura        ,358,03.10.2016 00:00:00,AUTOCAMYN SRL,330,275,0,55
Factura        ,1000333077,04.10.2016 00:00:00,ANTALIS SA,630.04,525,0,105.04
Factura        ,1138342CO,04.10.2016 00:00:00,LIFE - IND S.R.L.,342.39,314.12,0,28.27
Factura        ,71617170,04.10.2016 00:00:00,EUROPAPIER ROMANIA SRL,4721.64,3934.33,0,787.31
Factura        ,7059058,11.10.2016 00:00:00,LECOM BIROTICA ARDEAL SRL,4323,3602.5,0,720.5
Factura        ,71617712,11.10.2016 00:00:00,EUROPAPIER ROMANIA SRL,1214.35,1010.29,0,204.06
Factura        ,3013,12.10.2016 00:00:00,PHONUS SRL,784.8,654,0,130.8
Factura        ,71617994,14.10.2016 00:00:00,EUROPAPIER ROMANIA SRL,4128,3440,0,688
Factura        ,1139191,18.10.2016 00:00:00,LIFE - IND S.R.L.,193.41,177.12,0,16.29
Factura        ,71618205,18.10.2016 00:00:00,EUROPAPIER ROMANIA SRL,4627.13,3855.53,0,771.6
Factura        ,1000335922,24.10.2016 00:00:00,ANTALIS SA,1638.12,1365,0,273.12
Factura        ,1000335193,25.10.2016 00:00:00,ANTALIS SA,1260.08,1050,0,210.08
Factura        ,71618733,25.10.2016 00:00:00,EUROPAPIER ROMANIA SRL,4128,3440,0,688
Factura        ,7059474,31.10.2016 00:00:00,LECOM BIROTICA ARDEAL SRL,6191.26,5159.38,0,1031.88
Factura        ,71619329,31.10.2016 00:00:00,EUROPAPIER ROMANIA SRL,355.96,296.15,0,59.81
Factura        ,1000335892,01.11.2016 00:00:00,ANTALIS SA,2196.43,1830.21,0,366.22
Factura        ,71619367,01.11.2016 00:00:00,EUROPAPIER ROMANIA SRL,1299.01,1080.13,0,218.88
