Nr. factura,Data factura,Baza impozitare,Valoare TVA,An factura,Predictie,Diferenta
37479,2020-01-06,227.14,43.16,2020,270.3059064534466,-0.005906453446584692
37493,2020-01-06,50.42,9.58,2020,60.006317604184694,-0.006317604184694403
37497,2020-01-06,137.84,26.19,2020,164.03611427328588,-0.006114273285874106
37505,2020-01-07,3542.24,673.03,2020,4215.268196108768,0.0018038912321571843
37515,2020-01-08,334.39,63.53,2020,397.9256573218058,-0.00565732180575651
37520,2020-01-08,128.44,24.4,2020,152.84613630223177,-0.006136302231766422
37527,2020-01-08,701.55,133.29,2020,834.8448033928877,-0.00480339288765208
37528,2020-01-08,86.35,16.41,2020,102.76623390051944,-0.006233900519433178
37550,2020-01-09,82.35,15.65,2020,98.00624320377194,-0.00624320377194465
37615,2020-01-11,238.66,45.34,2020,284.00588002594486,-0.0058800259448617
37698,2020-01-11,103.07,19.58,2020,122.65619529563816,-0.0061952956381503554
37636,2020-01-14,91.18,17.32,2020,108.50622298697431,-0.006222986974307787
37770,2020-01-20,26.88,5.11,2020,31.996372245729116,-0.006372245729117765
37804,2020-01-21,333.02,63.27,2020,396.295660495697,-0.005660495696986345
37846,2020-01-22,103.07,19.58,2020,122.65619529563816,-0.0061952956381503554
37870,2020-01-23,99.88,18.98,2020,118.86620246137073,-0.0062024613707336584
38064,2020-01-27,0.0,0.0,2020,0.006434879997755161,-0.006434879997755161
38133,2020-01-28,1278.7,242.95,2020,1521.653460987477,-0.003460987476955779
38215,2020-01-29,86.83,16.5,2020,103.33623283401988,-0.006232834019883171
38237,2020-01-30,36.55,6.95,2020,43.506349642861984,-0.00634964286198425
38744,2020-02-01,296.18,56.27,2020,352.455746195283,-0.005746195282995359
38487,2020-02-07,78.0,14.82,2020,92.82625346657373,-0.0062534665737388195
38488,2020-02-07,852.96,162.06,2020,1015.0244511542131,-0.004451154213143127
38493,2020-02-07,117.65,22.35,2020,140.00616139359786,-0.006161393597864162
38498,2020-02-07,237.48,45.12,2020,282.60588259578674,-0.005882595786715683
38505,2020-02-07,416.3,79.1,2020,495.4054665192655,-0.005466519265496572
38507,2020-02-07,27.32,5.19,2020,32.51637137204359,-0.006371372043588508
39105,2020-02-07,200.0,38.0,2020,238.00596971737204,-0.00596971737203944
38545,2020-02-09,43.85,8.33,2020,52.186332955455505,-0.006332955455505385
38553,2020-02-10,355.99,67.64,2020,423.63560683478846,-0.005606834788466131
38562,2020-02-10,50.42,9.58,2020,60.006317604184694,-0.006317604184694403
38642,2020-02-12,22.34,4.24,2020,26.586383112580325,-0.006383112580326866
38646,2020-02-12,147.92,28.1,2020,176.02609104528275,-0.00609104528274429
38651,2020-02-12,7.33,1.39,2020,8.726417944041703,-0.0064179440417024836
38686,2020-02-13,237.79,45.18,2020,282.9758818290515,-0.0058818290514750515
38687,2020-02-13,69.75,13.25,2020,83.0062727584711,-0.0062727584710984274
38746,2020-02-16,620.7,117.93,2020,738.6349913725159,-0.004991372515860348
38778,2020-02-17,211.11,40.11,2020,251.22594391500627,-0.005943915006270117
38829,2020-02-18,265.05,50.36,2020,315.41581840244027,-0.0058184024402407886
38831,2020-02-18,15.53,2.95,2020,18.486398789222804,-0.006398789222803458
38904,2020-02-20,132.77,25.23,2020,158.0061259279589,-0.006125927958890998
38906,2020-02-20,115.09,21.87,2020,136.9661670815955,-0.006167081595492618
38919,2020-02-20,80.82,15.36,2020,96.18624673316309,-0.0062467331630813305
38969,2020-02-20,86.05,16.35,2020,102.40623472299023,-0.006234722990228647
38996,2020-02-21,7.1,1.35,2020,8.45641832514892,-0.006418325148921156
39119,2020-02-25,80.2,15.24,2020,95.4462482666336,-0.006248266633605226
39123,2020-02-25,47.23,8.97,2020,56.20632518567349,-0.006325185673489386
39124,2020-02-25,105.88,20.12,2020,126.00618850649197,-0.00618850649196645
39140,2020-02-25,31.92,6.06,2020,37.98636083960568,-0.006360839605683566
39167,2020-02-26,468.97,89.1,2020,558.0753443221901,-0.005344322190012463
39189,2020-02-26,12.82,2.44,2020,15.266404888455835,-0.006404888455834978
39212,2020-02-27,59.66,11.34,2020,71.00629593073864,-0.006295930738644984
39255,2020-02-28,491.01,93.29,2020,584.3052929614872,-0.005292961487270986
39266,2020-02-28,65.55,12.45,2020,78.00628261003747,-0.006282610037473546
39274,2020-02-28,64.17,12.19,2020,76.36628572819323,-0.006285728193233808
39358,2020-03-02,98.7,18.75,2020,117.45620544696885,-0.00620544696884906
39359,2020-03-02,77.31,14.69,2020,92.0062550256516,-0.006255025651597634
39364,2020-03-02,290.79,55.25,2020,346.0457585609557,-0.005758560955655412
39377,2020-03-03,221.51,42.09,2020,263.60591956024723,-0.0059195602472073006
39381,2020-03-03,302.23,57.42,2020,359.65573210332576,-0.005732103325783555
39410,2020-03-04,12.33,2.34,2020,14.67640631497606,-0.0064063149760595905
39411,2020-03-04,212.62,40.4,2020,253.025940274144,-0.005940274143995339
39439,2020-03-05,26.3,5.0,2020,31.30637358638561,-0.006373586385610253
39522,2020-03-05,704.09,133.78,2020,837.8747971776628,-0.004797177662794638
39489,2020-03-08,115.97,22.03,2020,138.00616533422442,-0.006165334224419894
39516,2020-03-10,537.64,102.15,2020,639.7951844963483,-0.005184496348306311
39519,2020-03-10,164.74,31.3,2020,196.04605175048835,-0.006051750488353491
39524,2020-03-10,48.89,9.29,2020,58.186321133575845,-0.006321133575845295
39527,2020-03-10,117.82,22.39,2020,140.21616067807733,-0.006160678077321791
39531,2020-03-10,83.62,15.89,2020,99.51624030403758,-0.006240304037575584
39541,2020-03-11,252.42,47.96,2020,300.3858477899327,-0.005847789932715841
39546,2020-03-11,96.15,18.27,2020,114.42621119070202,-0.006211190702018143
39557,2020-03-12,53.88,10.24,2020,64.12630944877465,-0.006309448774644011
39558,2020-03-12,28.66,5.45,2020,34.11636803094563,-0.00636803094563021
39582,2020-03-13,771.82,146.65,2020,918.4746395962912,-0.004639596291212911
39638,2020-03-17,735.03,139.66,2020,874.6947251587986,-0.004725158798578377
39666,2020-03-18,471.63,89.61,2020,561.2453379442793,-0.005337944279290241
39684,2020-03-19,140.37,26.67,2020,167.0461084180816,-0.006108418081595346
39688,2020-03-19,133.28,25.32,2020,158.60612502866599,-0.0061250286659912945
39715,2020-03-20,274.77,52.21,2020,326.98579566249464,-0.005795662494620046
39742,2020-03-24,55.67,10.58,2020,66.25630528972671,-0.006305289726711294
39792,2020-03-26,217.33,41.29,2020,258.62592952328475,-0.005929523284748939
39845,2020-03-30,300.29,57.06,2020,357.35573625785287,-0.005736257852845483
39884,2020-04-03,33.26,6.32,2020,39.586357498507724,-0.006357498507725268
39914,2020-04-08,329.27,62.56,2020,391.83566911355723,-0.005669113557246419
39919,2020-04-08,31.6,6.0,2020,37.606361550605385,-0.00636155060538357
